measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1711291803_ims.csv	p1	0.99644	96.58	47.4989	1718	194
BD18_1711291803_ims.csv	p2	0.59574	37.799	11.0671	1030	76
BD18_1711291803_ims.csv	p4	1.02673	97.562	37.4732	1770	196
BD18_1711291803_ims.csv	p6	0.68544	32.308	40.1807	1184	65
BD18_1711291803_ims.csv	p8	1.05235	96.049	29.2685	1814	193
BD18_1711291803_ims.csv	p10	0.78212	28.33	11.7933	1350	57
BD18_1711291803_ims.csv	p12	0.64467	23.384	21.2607	1114	47
BD18_1711291803_ims.csv	p13	1.00168	95.612	44.0127	1727	192
BD18_1711291803_ims.csv	p17	1.09312	95.612	20.354	1884	192
BD18_1711291803_ims.csv	p21	0.958	96.049	52.4404	1652	193
BD18_1711291803_ims.csv	p22	0.97373	96.049	55.4335	1679	193
BD18_1711291803_ims.csv	p23	1.04769	96.049	30.5853	1806	193
BD18_1711291803_ims.csv	p27	1.01683	96.049	40.0416	1753	193
BD18_1711291803_ims.csv	p28	0.80017	28.844	10.084	1381	58
BD18_1711291803_ims.csv	p30	1.03605	96.049	34.3918	1786	193
BD18_1711291803_ims.csv	p32	1.07856	96.049	23.2365	1859	193
BD18_1711291803_ims.csv	p33	0.80891	28.844	12.725	1396	58
BD18_1711291803_ims.csv	p34	1.11467	95.612	20.8657	1921	192
BD18_1711291803_ims.csv	p36	0.82521	29.921	15.5036	1424	60
BD18_1711291803_ims.csv	p38	1.05876	98.108	27.8182	1825	197
BD18_1711291803_ims.csv	p40	0.6435	27.877	367.579	1112	56
BD18_1711291803_ims.csv	p41	0.99236	97.562	48.9093	1711	196
BD18_1711291803_ims.csv	p44	0.96383	96.049	52.1876	1662	193
BD18_1711291803_ims.csv	p45	0.75998	28.33	11.5665	1312	57
BD18_1711291803_ims.csv	p47	1.00692	98.108	42.5461	1736	197
BD18_1711291803_ims.csv	p48	1.0838	98.108	23.2143	1868	197
BD18_1711291803_ims.csv	p49	0.81881	28.844	15.2252	1413	58
BD18_1711291803_ims.csv	p50	0.89976	98.108	10.9704	1552	197
BD18_1711291803_ims.csv	p51	1.03139	98.623	34.705	1778	198
BD18_1711291803_ims.csv	p52	0.60623	74.708	13.338	1048	150
BD18_1711291803_ims.csv	p53	1.04187	97.562	30.8776	1796	196
BD18_1711291803_ims.csv	p56	0.8456	29.921	625.512	1459	60
BD18_1711291803_ims.csv	p58	0.60623	91.073	90.6102	1048	183
BD18_1711291803_ims.csv	p59	0.73902	91.073	20.9542	1276	183
BD18_1711291803_ims.csv	p64	0.91549	28.33	19.4708	1579	57
BD18_1711291803_ims.csv	p65	1.11059	98.108	21.5573	1914	197
BD18_1711291803_ims.csv	p67	1.12224	98.108	21.4952	1934	197
BD18_1711291803_ims.csv	p70	0.71747	27.877	30.2499	1239	56
BD18_1711291803_ims.csv	p71	0.89743	27.877	24.2867	1548	56
BD18_1711291803_ims.csv	p72	0.94461	95.066	51.6754	1629	191
BD18_1711291803_ims.csv	p78	0.95218	95.066	51.7922	1642	191
BD18_1711291803_ims.csv	p81	1.1403	96.049	63.3096	1965	193
BD18_1711291803_ims.csv	p83	1.011	98.108	41.7698	1743	197
BD18_1711291803_ims.csv	p84	1.06924	98.108	25.2568	1843	197
BD18_1711291803_ims.csv	p86	0.47868	0	128.756	829	0
BD18_1711291803_ims.csv	p87	0.50372	0	13.8377	872	0
BD18_1711291803_ims.csv	p88	0.54741	1.934	20.609	947	4
BD18_1711291803_ims.csv	p89	0.53459	2.465	16.5626	925	5
BD18_1711291803_ims.csv	p93	0.58643	3.432	124.982	1014	7
BD18_1711291803_ims.csv	p94	0.68951	3.432	13.81	1191	7
BD18_1711291803_ims.csv	p96	0.45247	4.383	204.593	784	9
BD18_1711291803_ims.csv	p98	0.97722	96.049	55.6467	1685	193
BD18_1711291803_ims.csv	p99	0.89569	93.569	14.0383	1545	188
BD18_1711291803_ims.csv	p100	1.06342	99.59	26.2277	1833	200
BD18_1711291803_ims.csv	p101	0.58002	7.425	18.6075	1003	15
BD18_1711291803_ims.csv	p104	0.78095	8.471	10.7926	1348	17
BD18_1711291803_ims.csv	p107	0.75765	7.94	27.6433	1308	16
BD18_1711291803_ims.csv	p108	0.73785	105.097	20.818	1274	211
BD18_1711291803_ims.csv	p109	1.09836	98.108	20.7046	1893	197
BD18_1711291803_ims.csv	p111	1.1036	96.049	20.3257	1902	193
BD18_1711291803_ims.csv	p114	0.6336	106.08	12.5335	1095	213
BD18_1711291803_ims.csv	p115	0.49732	5.99	216.802	861	12
BD18_1711291803_ims.csv	p118	0.54799	7.425	601.912	948	15
BD18_1711291803_ims.csv	p120	0.53576	8.907	59.1576	927	18
BD18_1711291803_ims.csv	p121	0.57653	23.384	10.2842	997	47
BD18_1711291803_ims.csv	p124	0.59749	19.438	84.1333	1033	39
BD18_1711291803_ims.csv	p125	0.92364	102.991	107.335	1593	207
BD18_1711291803_ims.csv	p127	0.88753	117.031	49.1628	1531	235
BD18_1711291803_ims.csv	p131	0.60623	139.885	21.4632	1048	281
BD18_1711291803_ims.csv	p132	0.60623	122.99	40.2444	1048	247
BD18_1711291803_ims.csv	p133	0.60623	105.097	100.275	1048	211
