measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280826_ims.csv	p1	0.47876	0	52.1119	839	0
BD18_1408280826_ims.csv	p2	0.50351	0	16.3727	882	0
BD18_1408280826_ims.csv	p3	0.78493	4.025	10.7306	1371	8
BD18_1408280826_ims.csv	p4	0.62264	4.556	12.9803	1089	9
BD18_1408280826_ims.csv	p5	0.79586	3.479	34.8052	1390	7
BD18_1408280826_ims.csv	p6	0.69055	4.025	53.862	1207	8
BD18_1408280826_ims.csv	p7	0.81485	4.025	12.196	1423	8
BD18_1408280826_ims.csv	p8	0.75328	4.025	24.662	1316	8
BD18_1408280826_ims.csv	p9	0.49718	6.506	29.8867	871	13
BD18_1408280826_ims.csv	p10	0.71299	4.025	11.8778	1246	8
BD18_1408280826_ims.csv	p11	0.58811	4.025	50.7982	1029	8
BD18_1408280826_ims.csv	p12	0.5484	7.473	144.473	960	15
BD18_1408280826_ims.csv	p13	0.79471	27.846	11.4015	1388	56
BD18_1408280826_ims.csv	p14	0.81083	27.846	16.9768	1416	56
BD18_1408280826_ims.csv	p15	0.82349	28.377	22.2178	1438	57
BD18_1408280826_ims.csv	p16	0.89888	27.846	12.5012	1569	56
BD18_1408280826_ims.csv	p17	0.90578	28.377	13.7773	1581	57
BD18_1408280826_ims.csv	p18	0.87471	28.377	22.6455	1527	57
BD18_1408280826_ims.csv	p19	0.81658	28.377	19.4089	1426	57
BD18_1408280826_ims.csv	p21	0.80104	30.764	11.3808	1399	62
BD18_1408280826_ims.csv	p22	0.84651	29.344	552.932	1478	59
BD18_1408280826_ims.csv	p25	0.91729	28.377	25.9105	1601	57
BD18_1408280826_ims.csv	p26	0.76018	27.846	11.932	1328	56
BD18_1408280826_ims.csv	p28	0.78378	27.394	12.728	1369	55
BD18_1408280826_ims.csv	p34	0.64451	27.846	179.88	1127	56
BD18_1408280826_ims.csv	p35	0.57832	40.326	21.3812	1012	81
BD18_1408280826_ims.csv	p39	1.03585	96.019	33.3941	1807	193
BD18_1408280826_ims.csv	p41	1.09973	95.488	17.9662	1918	192
BD18_1408280826_ims.csv	p42	1.12735	96.019	19.4158	1966	193
BD18_1408280826_ims.csv	p44	1.02606	96.455	36.7011	1790	194
BD18_1408280826_ims.csv	p45	1.05714	95.488	26.791	1844	192
BD18_1408280826_ims.csv	p49	0.94319	95.488	44.8104	1646	192
BD18_1408280826_ims.csv	p50	1.05081	96.455	28.5519	1833	194
BD18_1408280826_ims.csv	p51	1.00592	96.019	45.2066	1755	193
BD18_1408280826_ims.csv	p52	1.01686	96.455	39.9361	1774	194
BD18_1408280826_ims.csv	p54	1.10433	96.455	18.2336	1926	194
BD18_1408280826_ims.csv	p56	0.96103	96.986	46.9895	1677	195
BD18_1408280826_ims.csv	p59	1.12102	96.986	19.9832	1955	195
BD18_1408280826_ims.csv	p62	0.95643	96.986	46.184	1669	195
BD18_1408280826_ims.csv	p64	1.08649	98.405	20.1522	1895	198
BD18_1408280826_ims.csv	p67	0.95067	94.958	45.7921	1659	191
BD18_1408280826_ims.csv	p70	1.06808	96.986	23.8345	1863	195
BD18_1408280826_ims.csv	p72	1.07901	96.986	21.1143	1882	195
BD18_1408280826_ims.csv	p74	1.14001	96.986	32.2619	1988	195
BD18_1408280826_ims.csv	p75	1.09455	97.438	18.6769	1909	196
BD18_1408280826_ims.csv	p76	1.11584	97.969	20.8416	1946	197
BD18_1408280826_ims.csv	p78	1.0721	97.438	23.5348	1870	196
BD18_1408280826_ims.csv	p79	0.9806	96.986	64.8806	1711	195
BD18_1408280826_ims.csv	p81	0.92593	100.995	74.4659	1616	203
BD18_1408280826_ims.csv	p83	0.60595	103.912	34.6149	1060	209
BD18_1408280826_ims.csv	p84	0.88967	116.345	11.3301	1553	234
